*/////////////////////////////////////////////
* DIP
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	ピン数	ピン間	列間	ピン直径
GDZJ15C		I-07498		D	AXIAL	2.9		2.1		0.45
GDZJ5.1A	I-07493		D	AXIAL	2.9		2.1		0.45
GDZJ3.0A	I-07490		D	AXIAL	2.9		2.1		0.45
GDZJ9.1C	I-07496		D	AXIAL	2.9		2.1		0.45
1N4007-3485	I-00934		D	AXIAL	5.2		2.7		0.86
1N4148		I-00941		D	AXIAL	3.4		1.9		0.55
GDZJ7.5C	I-07495		D	AXIAL	2.9		2.1		0.45
1N60		I-05507		D	AXIAL	7.2		3.2		0.5
E-452		I-03084		D	AXIAL	4.2		2.0		0.5
GDZJ4.7C	I-07492		D	AXIAL	2.9		2.1		0.45
Z2018		I-09427		OTHER	AXIAL	6		3.6		0.8
E-101		I-01633		D	AXIAL	4.2		2.0		0.5
GDZJ12C		I-07497		D	AXIAL	2.9		2.1		0.45
GDZJ24D		I-07499		D	AXIAL	2.9		2.1		0.45
GDZJ2.0A	I-07489		D	AXIAL	2.9		2.1		0.45
PS2010R		I-02228		D	AXIAL	7.6		2.6		0.86
BAT43		I-08760		D	AXIAL	3.8		2.0		0.52
